regNum,signDate,price,fz,regionCode,customer_name,customer_inn,customer_kpp,supplier_name,supplier_inn,supplier_kpp,OKEI_code,OKEI_name,product_name,OKPD/OKDP_code,OKPD/OKDP_name,product_sum,product_price,product_quantity,link
1222201315615000011,2015-03-17 00:00:00,5205211.5,44,22,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 3 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АЛТАЙСКОМУ КРАЮ""",2222013156,222201001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛТАЙСКАЯ ЗЕРНОВАЯ КОМПАНИЯ""",2222830662,222201001,166,КГ,Пшеница 3 класса,01.11.12.141,Зерно яровой мягкой пшеницы,1077555.6,13.2,81633.0,http://clearspending.ru/contract/1222201315615000011
1222201315615000011,2015-03-17 00:00:00,5205211.5,44,22,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 3 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АЛТАЙСКОМУ КРАЮ""",2222013156,222201001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛТАЙСКАЯ ЗЕРНОВАЯ КОМПАНИЯ""",2222830662,222201001,166,КГ,Пшеница 4 класса,01.11.12.141,Зерно яровой мягкой пшеницы,426300.9,12.7,33567.0,http://clearspending.ru/contract/1222201315615000011
1753200122315000020,2015-03-30 00:00:00,243520.0,44,75,"федеральное казенное учреждение ""Исправительная колония № 5 Управления Федеральной службы исполнения наказаний по Забайкальскому краю""",7532001223,753401001,ИП ГКФХ Петров Александр Николаевич,753610807779,,166,КГ,Пшеница,01.11.12.141,Зерно яровой мягкой пшеницы,77520.0,10.2,7600.0,http://clearspending.ru/contract/1753200122315000020
1672600750415000014,2015-03-30 00:00:00,1077020.0,44,67,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО СМОЛЕНСКОЙ ОБЛАСТИ""",6726007504,672601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТА""",6727024608,672701001,166,КГ,пшеница,01.11.12.141,Зерно яровой мягкой пшеницы,344400.0,12.0,28700.0,http://clearspending.ru/contract/1672600750415000014
1583401729715000011,2015-04-23 00:00:00,560000.0,44,58,"федеральное казенное учреждение ""Исправительная колония № 8 Управления Федеральной службы исполнения наказаний по Пензенской области""",5834017297,583401001,ИП ИП глава крестьянского (фермерского) хозяйства Долгов Александр Николаевич,580900961001,,166,КГ,Пшеница продовольственная,01.11.12.141,Зерно яровой мягкой пшеницы,560000.0,14.0,40000.0,http://clearspending.ru/contract/1583401729715000011
1583401729715000012,2015-04-23 00:00:00,656000.0,44,58,"федеральное казенное учреждение ""Исправительная колония № 8 Управления Федеральной службы исполнения наказаний по Пензенской области""",5834017297,583401001,ИП ИП глава крестьянского (фермерского) хозяйства Долгов Александр Николаевич,580900961001,,166,КГ,Пшеница фуражная,01.11.12.141,Зерно яровой мягкой пшеницы,208000.0,13.0,16000.0,http://clearspending.ru/contract/1583401729715000012
1561005988615000026,2015-04-14 00:00:00,2838000.0,44,56,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 8 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО ОРЕНБУРГСКОЙ ОБЛАСТИ""",5610059886,561001001,Общество с ограниченной ответственностью Эльба,5610134357,561001001,168,Т,Пшеница 3 класса продовольственная ГОСТ Р 52554-2006,01.11.12.141,Зерно яровой мягкой пшеницы,2838000.0,11825.0,240.0,http://clearspending.ru/contract/1561005988615000026
1543811065515000014,2015-03-12 00:00:00,2482000.0,44,54,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 14 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО НОВОСИБИРСКОЙ ОБЛАСТИ""",5438110655,543801001,"Общество с ограниченной ответственностью Строительная Компания ""Регион-54""",5406729298,540601001,168,Т,Зерно 5 класса ГОСТ Р 52554-2006 массовая доля влаги 14 %,01.11.12.141,Зерно яровой мягкой пшеницы,2482000.0,14600.0,170.0,http://clearspending.ru/contract/1543811065515000014
1583401729715000007,2015-03-23 00:00:00,112000.0,44,58,"федеральное казенное учреждение ""Исправительная колония № 8 Управления Федеральной службы исполнения наказаний по Пензенской области""",5834017297,583401001,ИП ИП глава крестьянского (фермерского) хозяйства Долгов Александр Николаевич,580900961001,,166,КГ,Пшеница продовольственная,01.11.12.141,Зерно яровой мягкой пшеницы,112000.0,14.0,8000.0,http://clearspending.ru/contract/1583401729715000007
1032310906915000016,2015-03-13 00:00:00,480000.0,44,03,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ БУРЯТИЯ""",0323109069,032301001,"""Победа""",0323359069,032301001,166,КГ,Пшеница мягкая продовольственная яровая краснозерная 3 класса,01.11.12.141,Зерно яровой мягкой пшеницы,480000.0,12.0,40000.0,http://clearspending.ru/contract/1032310906915000016
1032310906915000018,2015-03-30 00:00:00,480000.0,44,03,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 2 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ БУРЯТИЯ""",0323109069,032301001,"""Победа""",0323359069,032301001,166,КГ,Пшеница мягкая продовольственная яровая краснозерная 3 класса,01.11.12.141,Зерно яровой мягкой пшеницы,480000.0,12.0,40000.0,http://clearspending.ru/contract/1032310906915000018
1165102015015000036,2015-05-05 00:00:00,4546775.0,44,16,"федеральное казенное учреждение ""Исправительная колония № 4 Управления Федеральной службы исполнения наказаний по Республике Татарстан""",1651020150,165101001,ИП Сафиуллин Салим Гайнулхакович,163000077666,,166,КГ,пшеница 3 класса,01.11.12.141,Зерно яровой мягкой пшеницы,2547500.0,12.5,203800.0,http://clearspending.ru/contract/1165102015015000036
